video_id,title,thumbnail_type,comment_id,user_id,comment_date,likes,video_posted_date,viewed,liked,commented
VID1000,Video VID1000,face,,U1095,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,C90914,U1015,2025-06-04,9.0,2025-06-03,1,1,1
VID1000,Video VID1000,face,,U1030,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,,U1158,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1128,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1115,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1069,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1170,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1174,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,,U1045,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1066,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,,U1182,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,,U1165,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,C29944,U1078,2025-06-06,2.0,2025-06-03,1,0,1
VID1000,Video VID1000,face,,U1186,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,C16399,U1177,2025-06-03,6.0,2025-06-03,1,0,1
VID1000,Video VID1000,face,,U1056,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,C76874,U1152,2025-06-07,7.0,2025-06-03,1,1,1
VID1000,Video VID1000,face,,U1082,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1068,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,C23342,U1124,2025-06-05,7.0,2025-06-03,1,1,1
VID1000,Video VID1000,face,,U1016,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,C95508,U1148,2025-06-03,9.0,2025-06-03,1,0,1
VID1000,Video VID1000,face,C83650,U1093,2025-06-08,0.0,2025-06-03,1,1,1
VID1000,Video VID1000,face,,U1065,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1060,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,,U1084,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1067,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,,U1125,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1132,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,,U1009,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,C68356,U1018,2025-06-06,5.0,2025-06-03,1,0,1
VID1000,Video VID1000,face,,U1055,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,,U1075,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1150,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1104,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1135,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,C55683,U1137,2025-06-04,1.0,2025-06-03,1,0,1
VID1000,Video VID1000,face,C98940,U1164,2025-06-06,1.0,2025-06-03,1,0,1
VID1000,Video VID1000,face,C35383,U1076,2025-06-03,6.0,2025-06-03,1,1,1
VID1000,Video VID1000,face,,U1079,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1197,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1038,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1024,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,C28041,U1122,2025-06-08,2.0,2025-06-03,1,0,1
VID1000,Video VID1000,face,C87946,U1195,2025-06-03,9.0,2025-06-03,1,1,1
VID1000,Video VID1000,face,,U1029,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,,U1019,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,C49349,U1143,2025-06-05,9.0,2025-06-03,1,1,1
VID1000,Video VID1000,face,,U1086,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,C57820,U1114,2025-06-05,4.0,2025-06-03,1,0,1
VID1000,Video VID1000,face,,U1173,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,C89744,U1005,2025-06-05,9.0,2025-06-03,1,1,1
VID1000,Video VID1000,face,,U1126,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1117,,,2025-06-03,1,0,0
VID1000,Video VID1000,face,,U1073,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,C60544,U1140,2025-06-05,8.0,2025-06-03,1,1,1
VID1000,Video VID1000,face,,U1098,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,,U1172,,,2025-06-03,1,1,0
VID1000,Video VID1000,face,C38065,U1096,2025-06-05,7.0,2025-06-03,1,0,1
VID1000,Video VID1000,face,C71274,U1169,2025-06-03,1.0,2025-06-03,1,1,1
VID1001,Video VID1001,face,C38457,U1118,2025-06-05,10.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,,U1194,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1037,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1101,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1041,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C57243,U1159,2025-06-07,1.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,C68612,U1193,2025-06-05,4.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,C91429,U1029,2025-06-04,9.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,C86754,U1083,2025-06-07,10.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,C44083,U1161,2025-06-03,4.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,,U1080,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C24677,U1166,2025-06-06,10.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,,U1170,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1081,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1013,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1055,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C15904,U1026,2025-06-04,4.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,,U1082,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1164,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C90911,U1106,2025-06-07,3.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,,U1185,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1135,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1027,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1017,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,C39291,U1129,2025-06-03,3.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,C73995,U1078,2025-06-07,4.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,,U1036,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1173,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1002,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1074,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C62161,U1008,2025-06-03,1.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,,U1163,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C93046,U1165,2025-06-02,8.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,,U1020,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1024,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1195,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,C99130,U1155,2025-06-03,4.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,,U1010,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C57164,U1079,2025-06-07,1.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,,U1006,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1040,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1086,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1044,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1099,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1178,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1058,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1167,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1111,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1016,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1094,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C45297,U1071,2025-06-07,7.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,C45144,U1072,2025-06-03,0.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,,U1067,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C67878,U1076,2025-06-07,6.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,C39429,U1045,2025-06-04,9.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,C23269,U1030,2025-06-04,3.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,C51996,U1184,2025-06-02,4.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,,U1180,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1177,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1043,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1151,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C62906,U1188,2025-06-02,5.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,C28785,U1039,2025-06-05,10.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,,U1171,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1192,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1073,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,C76892,U1042,2025-06-04,4.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,,U1109,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1120,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1070,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1090,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C21781,U1034,2025-06-03,0.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,C33608,U1049,2025-06-05,5.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,,U1011,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C17890,U1104,2025-06-03,4.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,C13277,U1183,2025-06-07,5.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,,U1001,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1023,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1096,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C22787,U1003,2025-06-02,8.0,2025-06-02,1,0,1
VID1001,Video VID1001,face,,U1087,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1122,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1197,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1147,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C59872,U1137,2025-06-04,2.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,,U1154,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1131,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1156,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1009,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1138,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1032,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1038,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,C28345,U1084,2025-06-04,1.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,C29726,U1127,2025-06-07,6.0,2025-06-02,1,1,1
VID1001,Video VID1001,face,,U1130,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1189,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,,U1110,,,2025-06-02,1,0,0
VID1001,Video VID1001,face,,U1112,,,2025-06-02,1,1,0
VID1001,Video VID1001,face,C35521,U1148,2025-06-07,4.0,2025-06-02,1,0,1
VID1002,Video VID1002,screenshot,,U1168,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1185,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,,U1075,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,C12427,U1187,2025-06-14,7.0,2025-06-10,1,0,1
VID1002,Video VID1002,screenshot,C69865,U1099,2025-06-15,6.0,2025-06-10,1,1,1
VID1002,Video VID1002,screenshot,C95374,U1188,2025-06-14,10.0,2025-06-10,1,1,1
VID1002,Video VID1002,screenshot,C75274,U1155,2025-06-11,10.0,2025-06-10,1,1,1
VID1002,Video VID1002,screenshot,,U1084,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,C53326,U1186,2025-06-11,7.0,2025-06-10,1,0,1
VID1002,Video VID1002,screenshot,C71443,U1048,2025-06-13,5.0,2025-06-10,1,1,1
VID1002,Video VID1002,screenshot,,U1105,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1149,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1026,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,,U1015,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,C72403,U1166,2025-06-11,1.0,2025-06-10,1,1,1
VID1002,Video VID1002,screenshot,,U1051,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,C13036,U1031,2025-06-10,10.0,2025-06-10,1,1,1
VID1002,Video VID1002,screenshot,C65963,U1161,2025-06-12,10.0,2025-06-10,1,1,1
VID1002,Video VID1002,screenshot,,U1092,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,,U1130,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1097,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1156,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,,U1089,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1147,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,C54914,U1079,2025-06-12,7.0,2025-06-10,1,0,1
VID1002,Video VID1002,screenshot,,U1124,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,C99006,U1068,2025-06-12,1.0,2025-06-10,1,1,1
VID1002,Video VID1002,screenshot,,U1135,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1042,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,C77583,U1057,2025-06-15,1.0,2025-06-10,1,1,1
VID1002,Video VID1002,screenshot,,U1040,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1087,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1028,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,,U1152,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1128,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,,U1053,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,,U1045,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,,U1076,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,C50953,U1140,2025-06-10,2.0,2025-06-10,1,1,1
VID1002,Video VID1002,screenshot,,U1170,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,,U1090,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,C42648,U1073,2025-06-14,0.0,2025-06-10,1,0,1
VID1002,Video VID1002,screenshot,,U1195,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1172,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,C84674,U1029,2025-06-10,0.0,2025-06-10,1,0,1
VID1002,Video VID1002,screenshot,,U1034,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1071,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1104,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,C51657,U1158,2025-06-15,9.0,2025-06-10,1,1,1
VID1002,Video VID1002,screenshot,,U1081,,,2025-06-10,1,1,0
VID1002,Video VID1002,screenshot,,U1177,,,2025-06-10,1,0,0
VID1002,Video VID1002,screenshot,,U1196,,,2025-06-10,1,0,0
